Company,Registration number,Phone,Mobile,Website,Email,Domestic Nondomestic,County
Jordan Mc Ivor Electrical and Solar PV LTD,50533,,083 154 3157,,mcivorjordan21@gmail.com,Both,"Westmeath, Roscommon, Offaly, Mayo, Longford, Galway, Clare"
JV Communications LTD,50234,01 627 1086,086 258 7201,,,Both,Kildare
JW Solar Ltd,50397,,+353 86 305 9926,,info@jwe.ie,Both,"Wicklow, Waterford, Wexford, Laois, Kilkenny, Kildare, Dublin, Carlow"
K&T Solar PV Solutions Ltd,50487,,087 465 2953,,KARLTON@KTSOLARPVSOLUTIONS.COM,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Kaelen Higgins Electrical,50308,,083 4499499,,khigginselectrical@outlook.com,Both,"Roscommon, Tipperary, Limerick, Clare, Galway, Westmeath"
Karl Herron Electrical,50418,,+353 86 852 5138,,karlherronelectrical@outlook.com,Domestic,"Waterford, Kerry, Cork"
KB Electrical NI LTD,50073,0286 634 1093,,,,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
KBER,50512,,+353 87 666 4344,,kieran.buckley222@yahoo.com,Both,Cork
KD Smartenergy LTD,50155,,089 401 1577,,,Both,"Wexford, Waterford, Tipperary, Kilkenny"
Kell NFC t/a NFC Energy,50229,01 525 2859,083 105 2112,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Keltic,50401,667181516,,,accounts@keltic.ie,Both,"Limerick, Kerry, Cork, Clare"
Keogan Electrical Contractors,50316,,086 8216779,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Keogh Electrical and Building,50667,,860331375,,johnrkeoghelectrical@gmail.com,Both,"Offaly, Laois, Kilkenny, Kildare, Dublin, Carlow"
Kevin Murphy Electrical Services,50690,,838693134,,info@kmes.ie,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
KEW Distributors LTD T/A Kierans Electrical,50548,,087 257 0067,,electricsonline@gmail.com,Both,"Meath, Louth, Dublin, Cavan"
Kieran Doherty Electrical,50717,,086 1984838,,kierandohertyelectrical@gmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Kilcock Solar,50273,,089 464 1252,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Killtech LTD,50120,,087 218 8162,,,Both,Galway
Kinnelite Ltd,50479,,874086026,,kinnelite@hotmail.com,Both,"Wexford, Westmeath, Sligo, Roscommon, Monaghan, Meath, Louth, Longford, Limerick, Leitrim, Laois, Kildare, Galway, Dublin, Donegal, Clare, Cavan, Wicklow"
Kirra Ltd.,50265,,086 7806444,,,Both,Dublin
Klass Home Energy Ltd. TA Klass Solar,50492,01 539 2861,087 470 6482,,avril.oreilly@klasshomes.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
KM Electrical,50362,,087 0655377,https://www.kmelectrical.ie,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Kode engineering and contracting services LTD,50226,,087 227 2955,,Kieranodon@hotmail.com,Both,Kerry
KRDC Electrical LTD,50207,,087 263 4399,,,Both,"Westmeath, Sligo, Roscommon, Mayo, Longford, Leitrim, Galway, Donegal"
KTC Electrical,50725,,877543064,,accounts@ktcelectrical.com,Both,"Galway, Mayo, Roscommon, Sligo"
Laltec Electrical LTD,50169,,087 799 7124,,,Both,"Roscommon, Offaly, Mayo, Longford, Leitrim, Donegal, Sligo, Westmeath"
Laois Electrical,50051,,085 857 0005,,,Domestic,"Offaly, Laois, Kilkenny, Dublin, Kildare, Carlow, Waterford"
Lara Electrical Ltd,50406,+353 1 465 9090,+353 87 230 1835,https://www.lara.ie,malcolm@lara.ie,Both,"Wicklow, Wexford, Offaly, Meath, Laois, Kildare, Dublin, Carlow"
Leinster Electrical Contracts Limited,50475,469072122,872774977,,info@leinsterelectrical.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Lennon Solar,50100,041 988 1705,087 928 2405,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Light Energy Ireland Ltd,50711,,086 7927815,,marta@lightenergy.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Link Pro Electrical Ltd,50365,,860677222,https://www.linksolar.ie,linkelectricalireland@gmail.com,Both,"Westmeath, Sligo, Roscommon, Meath, Mayo, Longford, Leitrim, Galway, Dublin, Donegal, Cavan"
Lisavaird Co-Operative Creamery Limited,50708,,087 261 5636,,denismc@lisavairdco-op.ie,Both,Cork
Local Power Ltd,50024,01 825 0263,086 261 3374,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
LS ELECTRONICS LTD,50568,,+353 87 752 7554,,cianhunterpv@gmail.com,Domestic,"Wicklow, Meath, Kildare, Dublin, Donegal"
Lux Electrical Contractors Limited,50677,,834866435,,info@luxelectricalcontractors.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
LVP Renewables LTD,50068,01 864 3838,087 260 2410,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Lynch Electrical & Renewables Ltd,50540,,085 822 1861,,lynchsolarpv@outlook.com,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
M+C Hybrid Energy LTD,50080,049 4355054,,,carmel@hybridenergygroup.ie,Both,"Westmeath, Meath, Cavan, Longford, Monaghan"
Mahon MultiMedia,50260,087 948 5090,087 948 5090,,,Domestic,Offaly
Manning and Buckley Electrical Limited,50599,+353 1 611 9682,+353 86 616 5087,,mark@mab.ie,Both,"Dublin, Kildare, Westmeath"
Mark Rael Electrical LTD,50163,066 711 9638,085 778 1077,,,Both,Kerry
Martin Conroy Electrical and Security Systems Ltd,50337,,872378420,,,Domestic,"Wicklow, Wexford, Dublin, Carlow"
Martin Diver Electrical LTD,50538,,873542969,,dannymartindiver@gmail.com,Domestic,Donegal
Marval Power Ltd,50281,,086 2372203,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Mastertech Group Ltd,50434,,+353 83 017 7196,https://mastertech.ie,lee.macari@mastertech.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Matthew Tuohy Electrical,50103,,087 766 6731,,,Domestic,"Wicklow, Kildare, Dublin"
McCaffrey Mechanical Services Ltd,50607,,+353 89 512 5525,,alan@mccaffreymechanical.ie,Domestic,Donegal
McDonagh Doyle Custom Electric LTD,50147,053 924 0020,087 677 9145,,,Both,"Wicklow, Wexford, Waterford, Kilkenny, Kildare, Carlow"
McHugh Electric (Dublin) LTD,50126,01 284 0399,086 255 3094,,,Both,"Wicklow, Meath, Kildare, Dublin"
McLaughlin Electrical Ltd,50715,,087 7189225,,desmcl@gmail.com,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Meade & Madden T/A Glentech Electrical,50143,01 401 9768,087 905 4488,,dmeade@glentech.ie,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
MEC Electrical & Controls Ltd,50318,,086 3800013,,,Both,"Westmeath, Sligo, Roscommon, Offaly, Monaghan, Meath, Longford, Leitrim, Laois, Galway, Kildare, Dublin, Cavan"
Metris Contractor Services Ltd,50600,+353 65 671 2612,+353 85 105 4110,,richardliston79@gmail.com,Domestic,"Limerick, Cork, Clare, Tipperary"
Michael O'Connell Electrical Services Ltd,50399,667126618,872541434,,info@oconnellelectrical.com,Both,"Limerick, Kerry, Cork"
Mid West Renewable Energy Ltd,50523,,+353 87 616 6234,,germacnamara@yahoo.ie,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Midwest Fire & Security Ltd,50465,,876565646,,admin@midwestfireandsecurity.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Mitros Solar Ltd,50618,,872377813,,alex@mitros.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
MMK Facilities Management LTD,50547,15159265,872128343,,enquiries@mmk.ie,Domestic,"Wicklow, Meath, Louth, Kildare, Dublin"
Moontree Solar,50630,,868112233,,conor@moontree.ie,Both,"Tipperary, Offaly, Limerick, Laois, Clare"
Moy Solar,50629,9692012,,,info@moysolar.ie,Both,"Wicklow, Westmeath, Wexford, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
MPE-Online,50177,094 906 8890,086 347 4015,,,Both,Mayo
Mr Sparkx Electrical Services Ltd,50689,,852685738,,phelimnfofarrellyelectric@outlook.com,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Mulhare Electrical LTD,50146,0579 100100,087 990 9673,,,Both,"Westmeath, Tipperary, Offaly, Laois, Kilkenny, Kildare, Galway, Carlow"
Mullaney Electrical,50710,,876542408,,mullaney.vincent@yahoo.com,Both,"Galway, Roscommon"
Munster Solar,50054,,087 388 1872,https://www.omearaenergy.com,,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Murphy Solar PV + Electrical Contractor Ltd,50530,,+353 86 070 7022,,,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Murray and McEvoy Ltd,50263,0044 284 040 0320,0044 783 521 9312,,ciara@murraymcevoy.co.uk,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
My Power Ltd,50464,+353 1 627 4701,+353 87 867 4007,,graham@my-power.ie,Both,"Wicklow, Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Myles Donohoe Electrical,50576,+353 87 765 0741,,,mylesdelectrical@gmail.com,Domestic,"Wicklow, Wexford, Waterford, Tipperary, Kilkenny, Carlow"
MySolar,50501,+353 1 912 5265,,,grants@mysolar.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Nationwide Energy Solutions LTD,50041,,087 983 3160,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Netherbrook Ltd,50675,,872570267,,ger@netherbrook.com,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
Nigel M Daly Electrical,50432,+353 51 390 606,+353 86 260 6673,,office@evchargingstations.ie,Both,"Carlow, Wexford, Waterford, Laois, Kilkenny, Kildare, Dublin, Wicklow"
NMK Electrical Ltd,50480,,879904697,,nmkelectricalsolar@gmail.com,Both,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
North Cork Electrical LTD,50198,,087 399 1650,,,Both,"Limerick, Kerry, Cork"
North West PV IRL Ltd,50019,,087 255 4380,,,Both,"Sligo, Mayo, Leitrim, Donegal, Cavan"
NRE Renewables Ltd,50646,,877750508,,nrerenewables@gmail.com,Both,"Wexford, Westmeath, Offaly, Monaghan, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Dublin, Cavan, Carlow, Wicklow"
Nualaiochtai Miotal Teoranta TA Solar Structures,50378,,089 2295091,,hi@solarstructures.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Sligo, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Nuarc Energy Ltd,50527,,+353 86 857 1191,,john.brennan@nuarcenergy.ie,Both,"Westmeath, Sligo, Roscommon, Meath, Mayo, Longford, Leitrim, Galway, Donegal, Cavan"
Nusolas,50137,061 719 730,,,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
NZEB Technologies Ltd,50285,,086 838 4183,,,Both,Louth
O Hara Electrical,50373,,087 6316576,https://o-hara-electrical.business.site,,Both,"Tipperary, Roscommon, Offaly, Limerick, Galway"
O Kelly Electrical,50536,,087 317 5268,,okeandsolar@gmail.com,Domestic,"Limerick, Kerry, Cork, Clare, Tipperary"
O'Brien Electrical Services,50354,906482066,862585449,,,Both,"Roscommon, Offaly, Longford, Westmeath"
O'Neill & Sons Electrical Services,50609,+353 59 915 1486,+353 87 742 7314,,oneill_electrical@outlook.ie,Both,"Waterford, Westmeath, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
O'Neill Energy LTD,50602,,+353 86 403 0503,,coneill@oneillenergy.com,Domestic,"Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
OCM Electrical Services T/A Green Energy Renewables,50330,01 6519324,087 165 8019,,,Both,"Wicklow, Westmeath, Meath, Kildare, Dublin"
OCM Energy,50300,,087 6320772,,solar@ocm.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
OFE Solar & EV,50482,,871183680,,info@ofesolarev.ie,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
ÓgEngineering Ltd,50504,,+353 87 180 0643,,renewables@ogengineering.ie,Both,Dublin
Ohk Energy Ltd,50010,042 974 9322,087 335 0126,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Oliver Mullen Electrical Contractor Ltd,50659,,866044582,,info@electricalcontractors.ie,Both,"Clare, Galway, Leitrim, Mayo, Roscommon, Sligo"
ONENERGY RENEWABLES LIMITED,50698,,085 833 4244,,onenergyoffice@gmail.com,Both,"Carlow, Cavan, Clare, Dublin, Galway, Kildare, Kilkenny, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Offaly, Roscommon, Tipperary, Waterford, Westmeath, Wicklow"
optimum ucl,50723,,086 8100284,,dcoss@optimumucl.ie,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
P.M Electrical Works LTD,50488,,087 670 3448,,pmboher@gmail.com,Both,"Limerick, Kerry, Cork, Tipperary"
Patrick Lynch Renewables,50236,087 960 0671,087 960 0671,,,Both,"Galway, Clare, Mayo"
Paul Gallagher,50737,,087 263 2868,,pologallachoir@yahoo.com,Both,Donegal
Pawel Galarowicz,50271,,085 839 9514,,,Domestic,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Penrose Electrical Ltd,50697,,086 8929447,,penroseelectrical@hotmail.com,Both,"Carlow, Cavan, Clare, Cork, Donegal, Dublin, Galway, Kerry, Kildare, Kilkenny, Laois, Leitrim, Limerick, Longford, Louth, Mayo, Meath, Monaghan, Offaly, Roscommon, Sligo, Tipperary, Waterford, Westmeath, Wexford, Wicklow"
Peter Burke Electrical Limited,50668,,876789596,,peter@pbe.ie,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
Peyton Electrical Ltd,50319,,879352785,,,Both,"Roscommon, Leitrim, Limerick, Sligo, Mayo, Galway, Donegal, Clare"
Phasor Maintenance,50670,,871768274,,maurice@phasor.ie,Both,"Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wexford, Wicklow"
Phoenix Electrical Services,50305,12851139,879922124,,,Both,"Wicklow, Wexford, Kilkenny, Kildare, Dublin, Carlow"
Physalia Ltd T/A Ecoaer,50437,+353 61 433 996,+353 83 402 1042,https://www.ecoaer.com,cfennessy@ecoaer.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Pinergy Solar Electric,50008,053 925 6804,,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Roscommon, Offaly, Monaghan, Meath, Louth, Longford, Limerick, Leitrim, Laois, Galway, Dublin, Cork, Clare, Cavan, Carlow"
Planet Blue Energy Ireland ltd,50403,,+353 86 249 2401,,gerard.okeeffe@planetblueenergy.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Positive Electrical,50387,,087 202 3794,,evelyn@positiveelectrical.ie,Both,"Limerick, Cork, Clare"
Powersol Electrical Limited,50174,,087 997 3249,,,Both,"Sligo, Roscommon, Mayo, Leitrim"
Powersolar,50317,,087 7208658,,,Both,"Tipperary, Westmeath, Offaly, Meath, Laois, Kilkenny, Kildare, Dublin, Carlow"
Premier Energy,50582,+353 87 172 2875,,,realmenergysolutions@gmail.com,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Prime Solar Ltd,50360,,871323528,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Prosolar,50115,064 770 2000,087 633 1487,,,Both,"Waterford, Tipperary, Limerick, Kilkenny, Kerry, Cork, Clare"
Protech Electrical and Security Ltd,50320,,876110814,,,Both,"Wicklow, Westmeath, Wexford, Offaly, Meath, Louth, Longford, Laois, Kilkenny, Kildare, Dublin, Carlow"
ProWatt,50702,,087 3308088,,info@prowattelectrical.ie,Both,"Dublin, Kildare, Meath, Westmeath, Wicklow"
PureVolt Limited,50248,091 413 308,,,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Wicklow, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
PV Energy Ireland,50006,,087 901 1067,,,Both,"Roscommon, Mayo, Longford, Limerick, Galway, Sligo"
PV Generation Ltd.,50011,047 79078,,,,Both,"Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Waterford, Westmeath, Wexford, Wicklow"
PV Green,50098,,087 774 9470,,,Both,"Wexford, Westmeath, Tipperary, Waterford, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow, Wicklow"
PV Solar Ireland,50062,01 962 9854,087 614 6666,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
PV Solar Power Ltd,50032,,089 443 1002,,,Both,Dublin
PV Solar Systems,50286,,086 0747458,,,Both,"Wicklow, Wexford, Westmeath, Waterford, Tipperary, Sligo, Roscommon, Offaly, Monaghan, Meath, Mayo, Louth, Longford, Limerick, Leitrim, Laois, Kilkenny, Kildare, Kerry, Galway, Dublin, Donegal, Cork, Clare, Cavan, Carlow"
Q4 Energy,50222,,086 278 1025,,,Both,"Cork, Dublin, Galway, Kerry, Kildare, Kilkenny, Westmeath, Waterford, Tipperary, Offaly, Longford, Limerick, Laois, Clare, Cavan, Carlow, Wexford, Wicklow"
